genus	id
Holdemanella	UP000004315_518637.fasta
Holdemania	UP000005950_545696.fasta
Holospora	UP000019112_1399147.fasta
Hoyosella	UP000009235_443218.fasta
Humibacillus	UP000175826_1869167.fasta
Hungatella	UP000005384_742737.fasta
Hyalangium	UP000028725_394096.fasta
Hydrocarboniphaga	UP000003704_1172194.fasta
Hydrogenibacillus	UP000070261_1484.fasta
Hydrogenivirga	UP000005981_392423.fasta
Hydrogenobacter	UP000002574_608538.fasta
Hydrogenobaculum	UP000001872_380749.fasta
Hydrogenophaga	UP000005985_795665.fasta
Hydrogenovibrio	UP000027341_28885.fasta
Hylemonella	UP000016368_887062.fasta
Hymenobacter	UP000019423_1227739.fasta
Hyphomicrobium	UP000000494_717785.fasta
Hyphomonas	UP000001959_228405.fasta
Ideonella	UP000037660_1547922.fasta
Idiomarina	UP000001171_283942.fasta
Ignavibacterium	UP000007394_945713.fasta
Ilumatobacter	UP000011863_1313172.fasta
Ilyobacter	UP000006875_572544.fasta
Immundisolibacter	UP000092952_1810504.fasta
Imtechella	UP000005938_946077.fasta
Indibacter	UP000006073_1189612.fasta
Inquilinus	UP000029995_1398085.fasta
Intestinimonas	UP000064844_1297617.fasta
Intrasporangium	UP000008914_710696.fasta
Isoptericola	UP000009236_743718.fasta
Isosphaera	UP000008631_575540.fasta
Janibacter	UP000004474_1210046.fasta
Jannaschia	UP000008326_290400.fasta
Janthinobacterium	UP000011616_1198452.fasta
Jejuia	UP000030184_504487.fasta
Jeongeupia	UP000176825_1906741.fasta
Jeotgalibacillus	UP000031449_1508404.fasta
Jeotgalicoccus	UP000044136_1461582.fasta
Jiangella	UP000182977_419479.fasta
Johnsonella	UP000003011_679200.fasta
Jonesia	UP000000628_471856.fasta
Jonquetella	UP000003806_885272.fasta
Joostella	UP000004690_926559.fasta
Kaistia	UP000094930_1660103.fasta
Kandleria	UP000051841_1410657.fasta
Kangiella	UP000034071_914150.fasta
Kerstersia	UP000078084_206506.fasta
Ketogulonicigenium	UP000006871_880591.fasta
Kibdelosporangium	UP000063699_860235.fasta
Kiloniella	UP000034491_1549748.fasta
Kineococcus	UP000001116_266940.fasta
Kineosphaera	UP000008366_1184609.fasta
Kingella	UP000003009_629741.fasta
Kiritimatiella	UP000035268_1307763.fasta
Kitasatospora	UP000007076_452652.fasta
Klebsiella	UP000000265_272620.fasta
Kluyvera	UP000028600_1006000.fasta
