alignment model score count replica lf domain
NWSn natural 2100 200 0 100 0
NWSn natural 2110 52 0 100 0
NWSn natural 2120 57 0 100 0
NWSn natural 2130 56 0 100 0
NWSn natural 2140 61 0 100 0
NWSn natural 2150 56 0 100 0
NWSn natural 2160 89 0 100 0
NWSn natural 2170 54 0 100 0
NWSn natural 2180 70 0 100 0
NWSn natural 2190 58 0 100 0
NWSn natural 2200 86 0 100 0
NWSn natural 2210 55 0 100 0
NWSn natural 2220 54 0 100 0
NWSn natural 2230 57 0 100 0
NWSn natural 2240 42 0 100 0
NWSn natural 2250 52 0 100 0
NWSn natural 2260 54 0 100 0
NWSn natural 2270 41 0 100 0
NWSn natural 2280 48 0 100 0
NWSn natural 2290 39 0 100 0
NWSn natural 2300 57 0 100 0
NWSn natural 2310 40 0 100 0
NWSn natural 2320 38 0 100 0
NWSn natural 2330 46 0 100 0
NWSn natural 2340 57 0 100 0
NWSn natural 2350 40 0 100 0
NWSn natural 2360 41 0 100 0
NWSn natural 2370 35 0 100 0
NWSn natural 2380 48 0 100 0
NWSn natural 2390 39 0 100 0
NWSn natural 2400 63 0 100 0
NWSn natural 2410 36 0 100 0
NWSn natural 2420 32 0 100 0
NWSn natural 2430 43 0 100 0
NWSn natural 2440 28 0 100 0
NWSn natural 2450 36 0 100 0
NWSn natural 2460 35 0 100 0
NWSn natural 2470 30 0 100 0
NWSn natural 2480 29 0 100 0
NWSn natural 2490 25 0 100 0
NWSn natural 2500 47 0 100 0
NWSn natural 2510 31 0 100 0
NWSn natural 2520 41 0 100 0
NWSn natural 2530 33 0 100 0
NWSn natural 2540 44 0 100 0
NWSn natural 2550 24 0 100 0
NWSn natural 2560 32 0 100 0
NWSn natural 2570 33 0 100 0
NWSn natural 2580 30 0 100 0
NWSn natural 2590 27 0 100 0
NWSn natural 2600 30 0 100 0
NWSn natural 2610 24 0 100 0
NWSn natural 2620 26 0 100 0
NWSn natural 2630 35 0 100 0
NWSn natural 2640 21 0 100 0
NWSn natural 2650 19 0 100 0
NWSn natural 2660 34 0 100 0
NWSn natural 2670 26 0 100 0
NWSn natural 2680 23 0 100 0
NWSn natural 2690 29 0 100 0
NWSn natural 2700 34 0 100 0
NWSn natural 2710 21 0 100 0
NWSn natural 2720 23 0 100 0
NWSn natural 2730 19 0 100 0
NWSn natural 2740 19 0 100 0
NWSn natural 2750 30 0 100 0
NWSn natural 2760 15 0 100 0
NWSn natural 2770 24 0 100 0
NWSn natural 2780 24 0 100 0
NWSn natural 2790 25 0 100 0
NWSn natural 2800 21 0 100 0
